top - 13:27:55 up 1 day,  4:11,  4 users,  load average: 2,15, 2,54, 2,66
Tasks: 275 total,   2 running, 271 sleeping,   0 stopped,   2 zombie
%Cpu(s): 41,7 us,  6,7 sy,  0,0 ni, 51,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15817,2 total,   1891,0 free,   6145,4 used,   7780,8 buff/cache
MiB Swap:   4096,0 total,   4085,4 free,     10,6 used.   7643,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    164 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-freespace
    165 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-delayed-m
    166 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-qgroup-re
    167 root      20   0       0      0      0 S   0,0   0,0   0:00.12 btrfs-cleaner
    168 root      20   0       0      0      0 S   0,0   0,0   1:04.82 btrfs-transaction
    209 root      20   0  143728  40360  39416 S   0,0   0,2   0:08.45 systemd-journal
    214 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iprt-VBoxWQueue
    215 root      20   0       0      0      0 S   0,0   0,0   0:00.00 iprt-VBoxTscThread
    232 root      20   0   33476  10488   7680 S   0,0   0,1   0:00.63 systemd-udevd
    321 root     -51   0       0      0      0 S   0,0   0,0   1:26.79 irq/134-FTCS1000:00
    349 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    361 systemd+  20   0   90052   8292   7388 S   0,0   0,1   0:00.35 systemd-timesyn
    363 root     -51   0       0      0      0 S   0,0   0,0   0:01.60 irq/135-iwlwifi:default_+
    364 root     -51   0       0      0      0 S   0,0   0,0   0:00.12 irq/136-iwlwifi:queue_1
    365 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/137-iwlwifi:queue_2
    367 root     -51   0       0      0      0 S   0,0   0,0   0:00.02 irq/138-iwlwifi:queue_3
    368 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/139-iwlwifi:queue_4
    369 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    370 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/140-iwlwifi:exception
    422 dbus      20   0   10400   6360   4160 S   0,0   0,0   0:26.94 dbus-daemon
    423 root      20   0    7612   3876   3348 S   0,0   0,0   0:00.00 grub-btrfsd
    431 root      20   0   49272   8900   7608 S   0,0   0,1   0:00.46 systemd-logind
    432 root     -51   0       0      0      0 S   0,0   0,0   0:00.24 card0-crtc0
    433 root     -51   0       0      0      0 S   0,0   0,0   0:00.18 card0-crtc1
    434 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-crtc2
    435 root      20   0  442524  18736  14276 S   0,0   0,1   1:26.43 touchegg
    439 root      20   0  556632  23212  18740 S   0,0   0,1   1:07.05 NetworkManager
    469 root      20   0  143996  20908  16980 S   0,0   0,1   0:00.03 sddm
    678 root      20   0    2700   1540   1416 S   0,0   0,0   0:00.00 inotifywait
    693 root      20   0   12180   6232   5340 S   0,0   0,0   0:00.31 bluetoothd
    703 root      20   0   17592  12028  10260 S   0,0   0,1   0:03.65 wpa_supplicant
    912 polkitd   20   0  387752  13668   7780 S   0,0   0,1   0:02.14 polkitd
    913 root      20   0  467580  14780  10748 S   0,0   0,1   0:00.27 udisksd
    933 root      20   0  318456  12916   8728 S   0,0   0,1   0:12.84 upowerd
    954 root      20   0   67556  19172  17220 S   0,0   0,1   0:00.07 sddm-helper
    956 leksil    20   0   20352  12940   9560 S   0,0   0,1   0:00.89 systemd
    957 leksil    20   0   23556   5348   1892 S   0,0   0,0   0:00.00 (sd-pam)
    966 leksil    20   0   14576   3416   3100 S   0,0   0,0   0:00.53 gamemoded
    970 leksil    20   0   10968   7008   4312 S   0,0   0,0   0:16.02 dbus-daemon
    973 leksil    20   0  895460  90972  69196 S   0,0   0,6   0:08.96 kwalletd5
    974 leksil    20   0  199476  41684  36380 S   0,0   0,3   0:00.12 startplasma-x11
   1025 leksil    20   0  826220  18592  11860 S   0,0   0,1   0:03.01 xdg-desktop-por
   1030 leksil    20   0  680828   9692   6744 S   0,0   0,1   0:00.92 xdg-document-po
   1037 leksil    20   0  306104   8188   5528 S   0,0   0,1   0:00.00 xdg-permission-
   1044 root      20   0    2508   1884   1768 S   0,0   0,0   0:00.00 fusermount3
   1051 rtkit     21   1   88520   3388   3104 S   0,0   0,0   0:00.60 rtkit-daemon
   1059 leksil    20   0  895608  88808  70832 S   0,0   0,5   0:15.00 ksmserver
   1061 leksil    20   0 1517988 133784  95536 S   0,0   0,8   0:43.75 kded5
   1062 leksil    20   0 2730092 217864 124896 S   0,0   1,3  28:57.98 kwin_x11
   1093 leksil    20   0  232180  27628  22492 S   0,0   0,2   0:10.83 kglobalaccel5
   1109 leksil    20   0  228888   7424   4880 S   0,0   0,0   0:00.00 dconf-service
   1140 leksil    20   0  549256  40008  32772 S   0,0   0,2   1:21.42 kactivitymanage
   1166 leksil    20   0  230244  25420  22000 S   0,0   0,2   0:08.54 gmenudbusmenupr
   1170 leksil    20   0  979304  99040  77168 S   0,0   0,6   0:08.52 polkit-kde-auth
   1171 leksil    20   0  570568  50360  40748 S   0,0   0,3   0:17.83 org_kde_powerde
   1173 leksil    20   0  980132 108812  82192 S   0,0   0,7   0:14.10 xdg-desktop-por
   1175 leksil    20   0  228672  23640  20416 S   0,0   0,1   0:07.96 xembedsniproxy
   1176 leksil    20   0   49024   7920   7152 S   0,0   0,0   0:00.00 obexd
   1181 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   1187 leksil    20   0  222072  23216  19836 S   0,0   0,1   0:08.24 kscreen_backend
   1258 leksil    20   0  248660  36552  14680 S   0,0   0,2   4:20.55 pipewire
   1309 leksil    20   0 4105384 499200 104652 S   0,0   3,1   3:11.32 jetbrains-toolb
   1317 leksil    20   0 1060648 114804  86672 S   0,0   0,7   0:33.09 kdeconnectd
   1322 leksil    20   0  311392  30916  23364 S   0,0   0,2   0:05.95 touchegg
   1326 leksil    20   0  309116   8900   6296 S   0,0   0,1   0:00.00 agent
   1327 leksil    20   0  897764  90424  69436 S   0,0   0,6   0:16.49 kaccess
   1332 leksil    20   0 1053540  97288  75024 S   0,0   0,6   0:18.13 DiscoverNotifie
   1345 leksil    20   0   12256   2700   1516 S   0,0   0,0   0:01.65 jetbrains-toolb
   1446 leksil    20   0  148008 127936   9032 S   0,0   0,8   7:20.17 pipewire-pulse
   1568 leksil    20   0  381684   7936   6980 S   0,0   0,0   0:00.03 at-spi-bus-laun
   1575 leksil    20   0    8504   4576   4120 S   0,0   0,0   0:02.11 dbus-daemon
   1577 leksil    20   0  234976   9792   6764 S   0,0   0,1   0:16.98 at-spi2-registr
   2107 leksil    20   0   33,0g 539280 324356 S   0,0   3,3  50:08.42 msedge
   2112 leksil    20   0       0      0      0 Z   0,0   0,0   0:00.00 cat
   2113 leksil    20   0       0      0      0 Z   0,0   0,0   0:00.48 cat
   2115 leksil    20   0   32,0g   3516   3200 S   0,0   0,0   0:00.01 msedge_crashpad
   2117 leksil    20   0   32,0g   3064   2804 S   0,0   0,0   0:00.00 msedge_crashpad
   2123 leksil    20   0   32,4g  63852  50944 S   0,0   0,4   0:00.08 msedge
   2124 leksil    20   0   32,4g  64308  51392 S   0,0   0,4   0:00.08 msedge
   2125 leksil    20   0   32,0g   4216   3888 S   0,0   0,0   0:00.00 nacl_helper
   2128 leksil    20   0   32,4g  16984   3980 S   0,0   0,1   0:00.67 msedge
   2151 leksil    20   0   33,1g 309164 184440 S   0,0   1,9  51:53.07 msedge
   2152 leksil    20   0   32,4g 116636  80032 S   0,0   0,7  12:31.59 msedge
   2162 leksil    20   0   32,4g  48412  26260 S   0,0   0,3   0:28.20 msedge
